preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 325.000,Rua Doutor Júlio Cardoso 1135,"Franca Pólo Club, Franca",197 m² tot.,"Terreno Exclusivo à Venda no Coração de Franca, sp! &#xD; Imagine construir o futuro dos seus sonhos em um local privilegiado. Este é o terreno ideal para você, situado na R. Dr. Júlio Cardoso, no Centro de Franca, sp. Uma oportunidade única para quem busca valorização, praticidade e qualidade de vida. &#xD; &#xD; O Bairro: Centro de Franca&#xD; O Centro de Franca é, sem dúvida, um dos bairros mais desejados da cidade. Vibrante e completo, ele oferece uma infraestrutura impecável, combinando a tranquilidade de um bairro residencial com a conveniência de ter tudo ao seu alcance. A região é conhecida por sua segurança, ruas arborizadas e uma atmosfera acolhedora, ideal para famílias, empreendedores ou investidores. &#xD; &#xD; Pontos de Destaque e Comodidades Próximas&#xD; A localização estratégica deste terreno garante fácil acesso a uma ampla gama de serviços e comércios essenciais: &#xD; &#xD; Educação de Qualidade: Você estará a poucos minutos de escolas renomadas como: &#xD; &#xD; Colégio Champagnat: Uma instituição de ensino tradicional e de excelência. &#xD; &#xD; Escola Estadual Torquato Caleiro: Reconhecida pela qualidade de seu ensino público. &#xD; &#xD; Senac Franca: Oferecendo diversos cursos técnicos e profissionalizantes. &#xD; &#xD; Acessibilidade e Vias Principais: A R. Dr. Júlio Cardoso está em uma posição privilegiada, com fácil acesso às principais vias da cidade, como: &#xD; &#xD; Avenida Major Nicácio: Uma das avenidas mais importantes de Franca, ligando o centro a diversas outras regiões. &#xD; &#xD; Rua Voluntários da Franca: Conhecida por seu comércio diversificado. &#xD; &#xD; Avenida Antônio Barbosa Netto: Facilitando o deslocamento para diferentes pontos da cidade. &#xD; &#xD; Comércio e Serviços: O entorno oferece uma vasta gama de opções para o seu dia a dia: &#xD; &#xD; Franca Shopping: Com lojas, praça de alimentação e cinema para seu lazer e compras. &#xD; &#xD; Supermercados: Diversas opções como o Savegnago e o Carrefour, para suas compras semanais. &#xD; &#xD; Bancos, Farmácias e Clínicas Médicas: Tudo o que você precisa a poucos passos de distância. &#xD; &#xD; Praças e Áreas Verdes: Para momentos de lazer e contato com a natureza. &#xD; &#xD; Este terreno representa não apenas um pedaço de terra, mas um convite para construir um futuro próspero em um dos endereços mais cobiçados de Franca. &#xD; &#xD; Gostaria de agendar uma visita para conhecer de perto essa oportunidade? - 31/08/2025"
R$ 690.000,"Rua Tenente Oswaldo Noll Schmidt, 1170","Franca, São Paulo","133 m² tot.
3 quartos
2 ban.
2 vagas","Remaxparimob#4xhet - Para quem busca o imóvel ideal! Encontre o seu lar aqui. - Casa Dormitórios e garagem para carros coberto Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de espaço gourmet para receber amigos e familiares. Com dormitórios bem distribuídos, sendo deles suíte, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios espaçosos: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Área gourmet na frente no imóvel, banheiro social, sala de jantar e estar: Espaço moderno, ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia ampla e funcional: Espaço ideal para cuidar das roupas e da limpeza da casa. Tubulação de agua quente pronta toda em Amanco em cpvc, i só instalar sistema de aquecimento Instalação interna de ar-condicionado já preparada, não precisa furar parede."
R$ 550.000,R. José Jaire de Carvalho Andrade 111,"Parque Vicente Leporace I, Franca","170 m² tot.
3 quartos
2 ban.
2 vagas","3/4 sendo 1 Suíte; 170m²; Posição; Sala; Cozinha; 2 vagas de garagem coberta. Vai lhe possibilitar desfrutar de seu próprio quintal, piscina nos dias mais quentes. Já está com os móveis. Obs 1: O imóvel está alienado ao banco Santander. Obs 2: O proprietario está pedindo o valor 550 mil e o comprador deve assumir o saldo devedor financiado ou quitá-lo. Para maiores informações, entrar em contato preferencialmente pelo Whatsapp (12) Ver dados Jessica Vasques"
R$ 1.423.500,"Rua José de Alencar, 1741","Estação, Franca","211 m² tot.
3 quartos
5 ban.
4 vagas","Remaxparimob#yuep7 - Um achado raro no mercado! Confira todos os detalhes desta propriedade. - Cobertura duplex no Edificio Atrium na Estação em Franca, São Paulo. Excelente cobertura localizada na Rua José de Alencar, . Ao lado do edificio tem tudo que voce precisa, possibilitando pouco deslocamento, posto de gasolina em frente, supermercados, padaria, academia. O condomínio conta com unidades sendo pavimentos, foi entregue em e possui portaria horas, porta de entrada automatizada, rampa de acesso, elevadores de serviço e social, academia. A cobertura duplex conta com, m de a ́rea útil, muito bem distribuidos em dois pavimentos, com um excelente acabamento e móveis planejados. No andar inferior tem uma ampla sala de estar com sacada fechada, cozinha com armários completa, área de serviço já equipada, dois quartos sendo duas suítes e sacada compartilhada com uma linda vista para a cidade. No andar superior que pode ser acessado tanto pelas escadas, quanto pelo elevador, e tem uma ampla área gourmet, com armários, cooktop e bancadas, suíte completa e a área externa com churrasqueira, alé de uma linda vista panorâmica da cidade! Além do mais o apartamento possui vagas de garagem cobertas, localizadas no subsolo do prédio, trazendo total segurança que o condomínio pode oferecer. O apartamento estuda propostas em permuta de imóvel de menor valor e também financiamento. Cobertura duplex, sem uso, na Estação em Franca, São Paulo. Está excelente cobertura, fica localizada no Edifício Atrium, na Rua José de Alencar, . O edifício está rodeado de tudo o que você precisa, com pouco deslocamento. Ao atravessar a rua você já encontra o Brasília Auto Posto de Gasolina, logo na rua abaixo, Dr Farol e dois quarteirões para frente a estação de ponto de ônibus, que conta com um complexo de lojas de vários segmentos, academia, supermercados, etc. O condomínio contem unidades, sendo pavimentos, foi entregue em, e possui portaria horas, porta de entrada automatizada, rampa de acesso, elevadores de serviço e social, academia e ainda conta com os melhores profissionais na área de portaria, zeladoria e faxina. Sobre a a cobertura duplex, o apartamento conta com m de a ́rea útil, muito bem distribuidos em dois pavimentos, com um requintado acabamento e tudo do mais moderno e sofisticado que há no mercado. No andar inferior há uma ampla sala de estar com sacada fechada, cozinha com armários completa, área de serviço já equipada, dois quartos e duas suítes e sacada compartilhada com uma linda vista para a cidade. No andar superior que pode ser acessado tanto pelas escadas, linda por sinal, quanto pelo elevador, conta com uma ampla área gourmet, com armários, cooktop e bancadas, suíte completa e a área externa com hidro, deck e uma linda vista panorâmica da cidade! O apartamento possui vagas de garagem cobertas, localizadas no subsolo do prédio, trazendo a segurança que o condomínio tem a oferecer. Agende sua visita!"
R$ 122.738,"RUA ANGELO GUARALDO,N. 895 .","Vila São Sebastião, Franca","125 m² tot.
2 quartos
1 banheiro
2 vagas",2 Quartos 2 Vagas na Garagem Wc Sala Cozinha. Para uso do fgts consulte condições e enquadramento. Imóvel não aceita financiamento habitacional. Imóvel não aceita parcelamento. Imóvel não aceita consórcio. O pagamento das despesas de tributos incidentes sobre o imóvel ficará a cargo do comprador. O pagamento das despesas de condomínio também ficará a cargo do comprador até o limite de 10 em relação ao valor de avaliação do imóvel A caixa realizará o pagamento apenas do valor que exceder o limite de 10 do valor de avaliação. Importante. Escolha a Via House Imóveis creci Ver dadosJ como sua Imobiliária Credenciada Caixa e tenha a garantia de um atendimento especializado seguro e completo na compra de imóveis de Leilão Caixa Ao nos indicar você conta com suporte exclusivo em todas as etapas desde a escolha até a posse do imóvel garantindo um investimento seguro e sem surpresas. Por que escolher a Via House. Assessoria especializada e personalizada em leilões Caixa. Imóveis com até 70 de desconto. Aprovação do seu crédito habitacional sem complicação. aprovamos seu crédito habitacional. Deixe com a gente Facilitamos a aprovação do seu crédito com segurança e agilidade. Explore agora as melhores oportunidades de leilão em São Paulo. Casas apartamentos e imóveis comerciais com diversas opções para atender às suas necessidades. Fale conosco e aproveite as melhores ofertas. wwwviahouseleiloescombr. Ver dados WhatsApp disponível
R$ 4.981.750,"Avenida Frei Germano, 2266","Estação, Franca",1923 m² tot.,"Remaxparimob#dnsfv - Uma joia do mercado imobiliário! Não deixe essa oportunidade passar. - Oportunidade para Investidores! ""Imóvel à venda com Alto Potencial de Valorização em Franca"". Terreno Comercial localizado na Avenida Frei Germano, Bairro Estação, Franca/sp. O Terreno possui uma área total de. m com uma área útil de, m ; em uma localização estratégica com a Avenida Chico Júlio, próximo ao Banco Bradesco, Farmácia Raia, PedCell, Academia, McDonald's e variedades de serviços locais. Invista no seu futuro com este ativo de crescimento! Este terreno está localizado em uma área estratégica com grande demanda de locação; ideal para gerar renda e valorizar seu capital. Em uma região com grande fluxo de pessoas e veículos, alta potencialidade de crescimento, infraestrutura completa e fácil acesso a diversas áreas na cidade de Franca. Este terreno comercial oferece uma oportunidade única para desenvolver seu negócio ou expandir seus investimentos com excelente potencial de desenvolvimento e retorno sobre o investimento. O Terreno possui zoneamento comercial, permitindo a instalação de diversas atividades econômicas, desde comércio de varejo e atacado, a serviços e atividades mistas. Não Perca tempo! Agende a sua visita agora mesmo!"
R$ 173.300,"Rua Pierina Briao, s/n","Franca, São Paulo",297 m² tot.,"Remaxparimob#1vyzm - Ideal para você! Um imóvel que oferece conforto e praticidade. - terreno A venda, M quadra lote, jardim botÂnico, franca, são paulo - (cessão de direitos) Direitos: R$. , + parcelas de R$. , Valor quitado: R$. , Situado próximo aos Bairros Primo Meneghetti ii, Residencial Tellini e Residencial Ana Dorothea, podendo ter acesso tanto pela Avenida Jaime Tellini, como pela Av. Dr. Chafic Facury. O Jardim Botânico é uma excelente oportunidade para você que quer construir ou investir nesta área da cidade que está em constante crescimento e valorização. Loteamento já consolidado, com muitas construções, casas excelentes, além de barracões e comércios. Próximo a posto de gasolina, supermercados (Tiãozinho e outros), farmácias, escolas, creches e comércios gerais. Fácil acesso as Rodovias: João Traficante e Ronan Rocha. Terreno amplo, pronto para construir. Área m, m de frente e m lateral. Com um potencial versátil para projetos comerciais ou residenciais, ele se adequa a uma ampla variedade de necessidades."
R$ 450.000,"Rua Ifigênia Maria de Oliveira, Q08 L31","Jardim Piratininga, Franca",300 m² tot.,"Remaxparimob#chn02 - Para quem busca qualidade! Este imóvel é a escolha perfeita. - Apresentamos este incrível terreno residencial à venda, localizado na desejada Rua Ifigênia Maria de Oliveira, no coração do Jardim Piratininga. Este terreno em boas condições oferece uma oportunidade única para a construção do lar dos seus sonhos ou até mesmo um projeto de investimento lucrativo. Com uma área total de metros quadrados ( x m), este terreno fornece espaço. Sua localização privilegiada na proximo a avenida principal do bairro, próximo a padarias, academias, lojas, permite um fácil acesso a transporte público e a todas as comodidades que Franca tem a oferecer. Para quem busca uma experiência urbana com um toque de serenidade. Este terreno não é apenas um pedaço de terra; é o início de algo maior. Imagine-se desfrutando de uma vista panorâmica da cidade ou relaxando em um ambiente projetado para o seu conforto e praticidade. A proximidade com estabelecimentos comerciais e serviços essenciais faz deste lugar uma combinação perfeita entre conveniência e tranquilidade. Não perca esta oportunidade no movimentado mercado imobiliário. Agende uma visita e descubra o futuro que espera por você neste espaço promissor."
R$ 1.500.000,"Rua José de Alencar, 1741","Estação, Franca","280 m² tot.
3 quartos
5 ban.
4 vagas","Remaxparimob#cvrpe - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - Cobertura duplex, sem uso, na Estação em Franca, São Paulo. Está excelente cobertura, fica localizada no Edifício Atrium, na Rua José de Alencar, . O edifício está rodeado de tudo o que você precisa, com pouco deslocamento. Ao atravessar a rua você já encontra o Brasília Auto Posto de Gasolina, logo na rua abaixo, Dr Farol e dois quarteirões para frente a estação de ponto de ônibus, que conta com um complexo de lojas de vários segmentos, academia, supermercados, etc. O condomínio que contem unidades, pavimentos, entregue em, possui portaria horas, porta de entrada automatizada, rampa de acesso, elevadores de serviço e social, academia e ainda conta com os melhores profissionais na área de portaria, zeladoria e faxina. Sobre a a cobertura duplex, o apartamento conta com m de a ́rea útil, muito bem distribuidos em dois pavimentos, com um requintado acabamento e tudo do mais moderno e sofisticado que há no mercado. No andar inferior há uma ampla sala de estar com sacada fechada, cozinha com armários completa, área de serviço já equipada, dois quartos e duas suítes e sacada compartilhada com uma linda vista para a cidade. No andar superior que pode ser acessado tanto pelas escadas, linda por sinal, quanto pelo elevador, conta com uma ampla área gourmet, com armários, cooktop e bancadas, suíte completa e a área externa com hidro, deck e uma linda vista panorâmica da cidade! Além do mais o apartamento possui vagas de garagem cobertas, localizadas no subsolo do prédio, trazendo total segurança que o condomínio pode oferecer. O apartamento estuda propostas em permuta de imóvel de menor valor e também financiamento. Não perca mais tempo, agende sua visita e venha se apaixonar também por seu próximo lar!"
R$ 1.201.750,"Avenida Emiliano Di Cavalcanti, 550","Recreio Campo Belo, Franca","195 m² tot.
4 quartos
4 ban.
4 vagas","Remaxparimob#tukks - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - Casa com m em chacara de m com Dormitórios sendo suíte e garagem para vários carros. Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de grande espaço para descansar e receber amigos e familiares. Com dormitórios bem distribuídos, sendo deles suíte, e uma das suítes com closet, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Sala com pé direito alto e banheiro social. Cozinha com moveis planejados e despensa Espaço ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia funcional: Espaço ideal para cuidar das roupas e da limpeza da casa no fundo da casa."
